value,time
75.4,2025-05-01
105.1,2025-05-02
95.9,2025-05-03
45.5,2025-05-04
45.4,2025-05-05
23.7,2025-05-06
114.5,2025-05-07
142.3,2025-05-08
92.9,2025-05-09
99.0,2025-05-10
44.4,2025-05-11
123.9,2025-05-12
13.7,2025-05-13
7.9,2025-05-14
8.0,2025-05-15
2.3,2025-05-16
8.1,2025-05-17
11.8,2025-05-18
12.0,2025-05-19
14.0,2025-05-20
8.9,2025-05-21
6.7,2025-05-22
1.3,2025-05-23
9.5,2025-05-24
14.7,2025-05-25
12.2,2025-05-26
14.5,2025-05-27
10.7,2025-05-28
14.3,2025-05-29
13.9,2025-05-30
12.6,2025-05-31
13.1,2025-06-01
14.4,2025-06-02
14.2,2025-06-03
11.5,2025-06-04
11.6,2025-06-05
13.9,2025-06-06
11.4,2025-06-07
13.3,2025-06-08
12.4,2025-06-09
15.6,2025-06-10
14.8,2025-06-11
15.9,2025-06-12
15.8,2025-06-13
15.7,2025-06-14
8.2,2025-06-15
8.2,2025-06-16
11.3,2025-06-17
9.8,2025-06-18
5.9,2025-06-19
7.1,2025-06-20
4.8,2025-06-21
11.4,2025-06-22
7.7,2025-06-23
10.6,2025-06-24
7.4,2025-06-25
7.7,2025-06-26
8.8,2025-06-27
10.0,2025-06-28
0.8,2025-06-29
9.4,2025-06-30
0.6,2025-07-01
6.4,2025-07-02
7.5,2025-07-03
6.0,2025-07-04
2.3,2025-07-05
7.8,2025-07-06
12.1,2025-07-07
15.4,2025-07-08
13.6,2025-07-09
4.0,2025-07-10
3.5,2025-07-11
5.7,2025-07-12
7.6,2025-07-13
9.0,2025-07-14
4.6,2025-07-15
6.0,2025-07-16
5.9,2025-07-17
7.9,2025-07-18
5.7,2025-07-19
7.0,2025-07-20
6.7,2025-07-21
7.6,2025-07-22
0.9,2025-07-23
3.3,2025-07-24
8.2,2025-07-25
5.6,2025-07-26
7.3,2025-07-27
12.2,2025-07-28
3.2,2025-07-29
6.2,2025-07-30
5.8,2025-07-31
